 n, m, n-m, OurCalcRadiPolyIter, OurCalcRadiPolyRecu, PriPrataRusch1989, OurPrataRusch2022, PriShakiParam2013, OurShakiParam2022
 28,  28,   0, 1.000000000e-01, 1.000000000e-01, 6.634400000e+03, 1.000000000e-01, 4.000000000e-01, 1.000000000e-01
 28,  26,   2, 0.000000000e+00, 1.000000000e-01, 5.414500000e+03, 0.000000000e+00, 7.800000000e+00, 0.000000000e+00
 28,  24,   4, 4.000000000e-01, 1.000000000e-01, 5.212700000e+03, 1.600000000e+00, 1.181000000e+02, 2.100000000e+00
 28,  22,   6, 2.000000000e-01, 3.000000000e-01, 4.848200000e+03, 1.350000000e+01, 1.260300000e+03, 3.850000000e+01
 28,  20,   8, 2.000000000e-01, 5.000000000e-01, 4.722900000e+03, 8.380000000e+01, 1.003290000e+04, 5.081000000e+02
 28,  18,  10, 1.000000000e-01, 9.000000000e-01, 4.722800000e+03, 3.496000000e+02, 6.114070000e+04, 4.672600000e+03
 28,  16,  12, 3.000000000e-01, 2.100000000e+00, 4.727000000e+03, 1.029800000e+03, 2.980868000e+05, 3.200980000e+04
 28,  14,  14, 3.000000000e-01, 3.600000000e+00, 4.740600000e+03, 2.228100000e+03, 1.142480100e+06, 1.654861000e+05
 28,  12,  16, 3.000000000e-01, 7.000000000e+00, 4.713900000e+03, 3.650900000e+03, 3.674536300e+06, 6.882983000e+05
 28,  10,  18, 5.000000000e-01, 1.420000000e+01, 4.833500000e+03, 4.855300000e+03, 9.459539900e+06, 2.202490200e+06
 28,   8,  20, 5.000000000e-01, 2.800000000e+01, 4.815700000e+03, 5.382800000e+03, 2.052483320e+07, 5.749806000e+06
 28,   6,  22, 5.000000000e-01, 5.660000000e+01, 4.907000000e+03, 5.570900000e+03, 3.598110510e+07, 1.144341900e+07
 28,   4,  24, 6.000000000e-01, 1.068000000e+02, 4.775200000e+03, 5.431300000e+03, 5.483421060e+07, 1.915184730e+07
 28,   2,  26, 6.000000000e-01, 2.020000000e+02, 4.693700000e+03, 5.351200000e+03, 7.173505130e+07, 2.711620550e+07
 28,   0,  28, 7.000000000e-01, 3.970000000e+02, 4.880100000e+03, 5.555900000e+03, 7.795128480e+07, 3.005229220e+07
